,run,rows
359,182:0,4
360,183:0,4
361,185:0,4
362,186:0,4
363,187:0,4
364,188:0,4
365,189:0,4
366,18:0,0
367,190:0,4
368,191:0,4
369,192:0,4
370,193:0,4
371,194:0,4
372,195:0,4
373,196:0,4
374,197:0,4
375,198:0,4
376,199:0,4
377,19:0,4661
378,1:0,1
379,200:0,4
380,201:0,4
381,202:0,4
382,203:0,4
383,204:0,4
384,205:0,4
385,206:0,4
386,207:0,4
387,208:0,4
388,209:0,4
389,20:0,1
390,210:0,4
391,211:0,4
392,212:0,4
393,213:0,4
394,214:0,4
395,215:0,4
396,216:0,4
397,217:0,4
398,218:0,4
399,219:0,4
400,220:0,4
401,221:0,4
402,222:0,4
403,223:0,4
404,224:0,4
405,225:0,1
406,226:2,1
407,227:0,4
408,228:0,4
409,22:0,0
410,23:0,1
411,255:0,2
412,259:0,0
413,260:0,0
414,261:0,0
415,262:0,0
416,263:0,3301
417,264:0,3301
418,265:0,3301
419,266:0,3301
420,267:1,0
421,269:0,16
422,270:0,0
423,271:0,1
424,274:4,0
425,277:2,1
426,284:0,4
427,285:0,4
428,287:0,4
429,289:0,4
430,28:0,0
431,292:0,4
432,293:0,4
433,294:0,4
434,295:0,4
435,296:0,4
436,297:0,2
437,298:0,2
438,299:0,2
439,2:0,1
440,300:0,2
441,301:0,2
442,302:0,2
443,303:0,2
444,304:0,2
445,305:0,2
446,306:0,2
447,307:0,2
448,308:0,2
449,309:0,2
450,30:0,0
451,310:0,1
452,311:0,2
453,312:0,2
454,313:0,2
455,314:0,2
456,315:0,1
457,316:0,2
458,317:0,2
459,318:0,0
460,319:0,2
461,320:0,2
462,321:0,2
463,322:0,2
464,323:0,2
465,324:0,2
466,325:0,0
467,326:0,2
468,327:0,2
469,328:1,0
470,33:0,2
471,377:1,0
472,37:0,1
473,380:1,0
474,38:0,4
475,396:0,0
476,397:0,1
477,398:0,3233
478,3:0,1
479,400:4,0
480,403:0,15
481,409:0,0
482,40:0,2
483,410:0,0
484,411:0,0
485,412:0,0
486,413:0,0
487,414:1,0
488,417:1,0
489,418:0,2
490,419:0,2
491,41:0,1
492,420:0,2
493,422:0,2
494,423:0,2
495,424:0,2
496,425:0,2
497,426:0,2
498,427:0,2
499,428:0,2
500,429:0,2
501,42:0,1
502,430:0,2
503,431:0,2
504,432:0,2
505,433:0,2
506,434:0,2
507,435:0,2
508,436:0,2
509,437:0,2
510,438:0,2
511,439:0,2
512,440:0,2
513,441:0,2
514,442:0,2
515,443:0,2
516,444:0,2
517,445:0,2
518,446:0,2
519,447:0,2
520,448:0,2
521,449:0,2
522,44:0,1
523,450:0,2
524,451:0,2
525,452:0,5
526,453:0,10
527,454:0,10
528,455:0,5
529,456:2,43
530,457:0,10
531,458:0,10
532,460:0,5
533,461:0,10
534,462:0,0
535,463:0,5
536,464:0,10
537,465:0,0
538,468:0,1
539,469:0,0
540,46:0,1
541,470:0,0
542,471:0,0
543,472:0,0
544,473:1,0
545,474:2,1
546,476:1,0
547,477:0,11
548,478:0,2
549,480:2,1985
550,482:2,1
551,483:2,0
552,484:2,1
553,485:2,1
554,486:0,500
555,488:0,0
556,489:1,0
557,490:2,0
558,491:0,0
559,493:2,0
560,494:1,0
561,495:1,0
562,496:0,1
563,497:2,0
564,498:2,0
565,499:0,5
566,49:0,0
567,4:0,10000
568,500:0,5
569,501:0,5
570,503:0,5
571,504:0,5
572,505:0,1
573,506:0,5
574,507:0,5
575,508:0,1
576,509:0,5
577,510:0,1
578,511:0,1
579,512:0,1
580,513:0,1
581,514:0,0
582,515:0,0
583,517:0,1
584,518:0,0
585,519:0,1
586,51:2,1
587,520:0,0
588,521:0,1
589,522:0,1
590,523:1,0
591,528:0,1
592,532:0,6514
593,533:2,390
594,534:0,0
595,535:2,0
596,536:2,3233
597,537:2,0
598,538:0,0
599,539:2,0
600,53:0,2
601,540:2,1
602,541:2,0
603,542:2,1621
604,543:2,1621
605,546:5,0
606,547:2,1621
607,548:0,1620
608,549:2,1621
609,54:0,0
610,558:12,0
611,563:8,1
612,566:2,1
613,567:0,3
614,569:0,2
615,570:0,2
616,571:0,3
617,572:1,0
618,573:0,2
619,574:0,3
620,575:0,0
621,576:0,2
622,577:0,3
623,578:2,7
624,579:0,0
625,582:1,0
626,583:0,1
627,584:2,3228
628,586:0,1
629,587:0,1
630,588:0,0
631,589:0,0
632,590:0,1
633,591:0,0
634,593:0,9981
635,594:0,0
636,595:0,0
637,596:0,0
638,597:2,1
639,598:2,0
640,599:0,0
641,5:0,1
642,600:2,0
643,601:5,0
644,603:5,0
645,604:5,0
646,605:2,1
647,606:2,0
